TaskID,TaskName,Category,Duration,RequiredSkills,PreferredPhases,MaxConcurrent
T1,Data Cleanup,ETL,2,coding,"1-2",3
T2,Report Generation,Analytics,1,"analysis,reporting","[2,3,4]",2
T3,Model Training,ML,3,"ml,coding","3-5",1
T4,UI Prototype,Design,2,design,"[1,2]",2
T5,Load Testing,QA,1,testing,"2-3",2
T6,Feature Engineering,ML,4,"data,ml","2-5",1
T7,A/B Testing,Analytics,2,"testing,analysis","[1,3]",2
T8,Dashboard Build,Design,3,"ui/ux,data","3-4",2
T9,Code Review,QA,1,"coding,testing","[2,3]",3
T10,API Development,ETL,3,"coding,devops","1-3",2
